,celebrity,professional,dance,song,series,week,running_order,score_craig,score_arlene,score_len,score_bruno,score_alesha,score_darcey,score_jennifer,score_donny,score_shirley,score_alfonso,score_motsi,score_anton,total
0,Natasha Kaplinsky,Brendan Cole,Cha-Cha-Cha,Chain Of Fools,1,1,1,5,7,8,7,0,0,0,0,0,0,0,0,27
1,Lesley Garrett,Anton du Beke,Waltz,He Was Beautiful,1,1,2,6,8,8,7,0,0,0,0,0,0,0,0,29
2,Christopher Parker,Hanna Karttunen,Cha-Cha-Cha,Lady Marmalade,1,1,3,4,4,7,4,0,0,0,0,0,0,0,0,19
3,Jason Wood,Kylie Jones,Waltz,Three Times A Lady,1,1,4,5,5,6,5,0,0,0,0,0,0,0,0,21
4,Verona Joseph,Paul Killick,Cha-Cha-Cha,R.E.S.P.E.C.T,1,1,5,7,6,7,7,0,0,0,0,0,0,0,0,27
5,Claire Sweeney,John Byrness,Waltz,Unchained Melody,1,1,6,7,7,8,5,0,0,0,0,0,0,0,0,27
6,David Dickinson,Camilla Dallerup,Cha-Cha-Cha,Sex Bomb,1,1,7,2,4,6,4,0,0,0,0,0,0,0,0,16
7,Martin Offiah,Erin Boag,Waltz,Come Away With Me,1,1,8,5,6,7,7,0,0,0,0,0,0,0,0,25
8,Natasha Kaplinsky,Brendan Cole,Quickstep,The Lady Is A Tramp,1,2,1,7,8,8,8,0,0,0,0,0,0,0,0,31
9,Martin Offiah,Erin Boag,Rumba,Hero,1,2,2,3,5,7,6,0,0,0,0,0,0,0,0,21
10,Christopher Parker,Hanna Karttunen,Quickstep,You're The One That I Want,1,2,3,5,6,6,6,0,0,0,0,0,0,0,0,23
11,Claire Sweeney,John Byrness,Rumba,Angels,1,2,4,6,6,7,7,0,0,0,0,0,0,0,0,26
12,Verona Joseph,Paul Killick,Quickstep,If My Friends Could See Me Now,1,2,5,6,6,6,6,0,0,0,0,0,0,0,0,24
13,Jason Wood,Kylie Jones,Rumba,Leave Right Now,1,2,6,2,5,7,5,0,0,0,0,0,0,0,0,19
14,David Dickinson,Camilla Dallerup,Quickstep,Let's Face The Music And Dance,1,2,7,3,6,6,6,0,0,0,0,0,0,0,0,21
15,Lesley Garrett,Anton du Beke,Rumba,You'll Never Find Another Love Like Mine,1,2,8,6,7,7,7,0,0,0,0,0,0,0,0,27
16,Verona Joseph,Paul Killick,Jive,Proud Mary,1,3,1,6,6,6,6,0,0,0,0,0,0,0,0,24
17,Lesley Garrett,Anton du Beke,Tango,Sensation,1,3,2,7,8,7,7,0,0,0,0,0,0,0,0,29
18,Martin Offiah,Erin Boag,Jive,Great Balls Of Fire,1,3,3,5,5,5,6,0,0,0,0,0,0,0,0,21
19,David Dickinson,Camilla Dallerup,Tango,La Cumparsita,1,3,4,4,6,5,5,0,0,0,0,0,0,0,0,20
20,Christopher Parker,Hanna Karttunen,Jive,Do You Love Me?,1,3,5,5,4,5,5,0,0,0,0,0,0,0,0,19
21,Claire Sweeney,John Byrness,Tango,Roxanne,1,3,6,8,9,9,8,0,0,0,0,0,0,0,0,34
22,Natasha Kaplinsky,Brendan Cole,Jive,"Jump, Jive And Wail",1,3,7,7,7,5,7,0,0,0,0,0,0,0,0,26
23,Claire Sweeney,John Byrness,Paso Doble,Espana Cani,1,4,1,8,8,7,8,0,0,0,0,0,0,0,0,31
24,Christopher Parker,Hanna Karttunen,Foxtrot,Flying Without Wings,1,4,2,6,7,8,7,0,0,0,0,0,0,0,0,28
25,Verona Joseph,Paul Killick,Paso Doble,Bolero,1,4,3,5,6,6,7,0,0,0,0,0,0,0,0,24
26,Natasha Kaplinsky,Brendan Cole,Foxtrot,Girl From Ipanema,1,4,4,8,9,9,9,0,0,0,0,0,0,0,0,35
27,Lesley Garrett,Anton du Beke,Paso Doble,Scott & Fran's Paso Doble,1,4,5,7,7,8,8,0,0,0,0,0,0,0,0,30
28,Martin Offiah,Erin Boag,Foxtrot,Let's Do It (Let's Fall In Love),1,4,6,6,5,7,6,0,0,0,0,0,0,0,0,24
29,Lesley Garrett,Anton du Beke,Samba,Mas Que Nada,1,5,1,7,6,7,7,0,0,0,0,0,0,0,0,27
30,Martin Offiah,Erin Boag,Samba,Crickets Sing For Ana Maria,1,5,2,5,5,6,6,0,0,0,0,0,0,0,0,22
31,Christopher Parker,Hanna Karttunen,Samba,Soul Bossa Nova,1,5,3,3,4,4,4,0,0,0,0,0,0,0,0,15
32,Claire Sweeney,John Byrness,Samba,Shake Your Bon-Bon,1,5,4,8,8,8,8,0,0,0,0,0,0,0,0,32
33,Natasha Kaplinsky,Brendan Cole,Samba,Love Is In The Air,1,5,5,9,10,9,9,0,0,0,0,0,0,0,0,37
34,Martin Offiah,Erin Boag,Quickstep,It Don't Mean A Thing If You Ain't Got That Swing,1,6,1,5,6,6,7,0,0,0,0,0,0,0,0,24
35,Natasha Kaplinsky,Brendan Cole,Tango,Libertango,1,6,2,8,7,8,8,0,0,0,0,0,0,0,0,31
36,Christopher Parker,Hanna Karttunen,Waltz,I Have Nothing,1,6,3,5,6,5,6,0,0,0,0,0,0,0,0,22
37,Lesley Garrett,Anton du Beke,Foxtrot,I've Got You Under My Skin,1,6,4,8,8,9,9,0,0,0,0,0,0,0,0,34
38,Martin Offiah,Erin Boag,Cha-Cha-Cha,Smooth,1,6,5,6,6,6,6,0,0,0,0,0,0,0,0,24
39,Natasha Kaplinsky,Brendan Cole,Rumba,Endless Love,1,6,6,9,9,9,9,0,0,0,0,0,0,0,0,36
40,Christopher Parker,Hanna Karttunen,Paso Doble,Bamboleo,1,6,7,3,4,5,3,0,0,0,0,0,0,0,0,15
41,Lesley Garrett,Anton du Beke,Cha-Cha-Cha,Spinning Around,1,6,8,6,6,7,7,0,0,0,0,0,0,0,0,26
42,Lesley Garrett,Anton du Beke,Quickstep,That Old Black Magic,1,7,1,8,8,8,9,0,0,0,0,0,0,0,0,33
43,Natasha Kaplinsky,Brendan Cole,Waltz,With You I'm Born Again,1,7,2,9,9,9,9,0,0,0,0,0,0,0,0,36
44,Christopher Parker,Hanna Karttunen,Tango,Toxic,1,7,3,2,6,7,6,0,0,0,0,0,0,0,0,21
